

===============================================      Match : 73 ================================== 
512 , 232 , 1431 
Equipe 2 
50 , 225 , 1162 
116 , 225 , 1165 
182 , 218 , 1166 
242 , 125 , 1167 
242 , 242 , 1168 
240 , 360 , 1172 
317 , 227 , 1173 
392 , 152 , 1174 
389 , 303 , 1179 
451 , 221 , 1175 
528 , 224 , 1180 


===============================================      Match : 797 ================================== 
Equipe 1 
42 , 225 , 1137 
114 , 122 , 1140 
114 , 241 , 1141 
106 , 350 , 1142 
189 , 223 , 1143 
282 , 116 , 1147 
277 , 233 , 1148 
283 , 354 , 1149 
345 , 227 , 1154 
437 , 221 , 1150 
502 , 227 , 1155 
Equipe 2 
48 , 225 , 1390 
127 , 222 , 1393 
221 , 159 , 1394 
218 , 308 , 1395 
309 , 150 , 1396 
317 , 307 , 1400 
402 , 98 , 1401 
399 , 198 , 1402 
400 , 297 , 1407 
396 , 396 , 1403 
496 , 222 , 1408 


===============================================      Match : 798 ================================== 
Equipe 1 
44 , 225 , 1367 
121 , 223 , 1370 
203 , 156 , 1371 
201 , 308 , 1372 
279 , 156 , 1373 
279 , 300 , 1377 
360 , 130 , 1378 
355 , 244 , 1379 
354 , 371 , 1384 
433 , 216 , 1380 
518 , 224 , 1385 
Equipe 2 
47 , 225 , 1114 
129 , 116 , 1117 
134 , 230 , 1118 
133 , 343 , 1119 
223 , 155 , 1120 
226 , 309 , 1124 
300 , 124 , 1125 
301 , 242 , 1126 
298 , 363 , 1131 
397 , 218 , 1127 
498 , 216 , 1132 


===============================================      Match : 799 ================================== 
Equipe 1 
51 , 225 , 1278 
127 , 99 , 1281 
126 , 205 , 1282 
130 , 294 , 1283 
129 , 401 , 1284 
244 , 151 , 1288 
245 , 300 , 1289 
355 , 113 , 1290 
354 , 226 , 1295 
359 , 340 , 1291 
458 , 226 , 1296 
Equipe 2 
50 , 225 , 1346 
129 , 232 , 1349 
216 , 120 , 1350 
215 , 238 , 1351 
218 , 359 , 1352 
314 , 219 , 1356 
402 , 108 , 1357 
403 , 206 , 1358 
403 , 312 , 1363 
399 , 410 , 1359 
492 , 227 , 1364 


===============================================      Match : 800 ================================== 
Equipe 1 
49 , 225 , 1321 
117 , 127 , 1324 
115 , 240 , 1325 
123 , 359 , 1326 
211 , 156 , 1327 
213 , 305 , 1331 
306 , 161 , 1332 
297 , 313 , 1333 
397 , 155 , 1338 
396 , 308 , 1334 
491 , 229 , 1339 
Equipe 2 
49 , 225 , 1297 
97 , 220 , 1300 
180 , 119 , 1301 
183 , 230 , 1302 
182 , 343 , 1303 
257 , 223 , 1307 
313 , 156 , 1308 
320 , 311 , 1309 
385 , 228 , 1314 
467 , 224 , 1310 
525 , 227 , 1315 


===============================================      Match : 1033 ================================== 
Equipe 1 
51 , 225 , 1590 
105 , 225 , 1593 
173 , 227 , 1594 
246 , 224 , 1595 
318 , 154 , 1596 
317 , 305 , 1600 
402 , 121 , 1601 
403 , 246 , 1602 
402 , 368 , 1607 
458 , 232 , 1603 
536 , 224 , 1608 
Equipe 2 
49 , 225 , 1459 
126 , 152 , 1462 
134 , 306 , 1463 
224 , 95 , 1464 
224 , 189 , 1465 
218 , 291 , 1469 
216 , 382 , 1470 
311 , 219 , 1471 
400 , 151 , 1476 
405 , 306 , 1472 
493 , 223 , 1477 


===============================================      Match : 1034 ================================== 
Equipe 1 
45 , 225 , 1613 
132 , 116 , 1616 
136 , 236 , 1617 
131 , 348 , 1618 
223 , 125 , 1619 
219 , 251 , 1623 
214 , 372 , 1624 
311 , 157 , 1625 
317 , 311 , 1630 
398 , 222 , 1626 
493 , 219 , 1631 
Equipe 2 
45 , 225 , 1568 
114 , 124 , 1571 
118 , 237 , 1572 
118 , 354 , 1573 
227 , 99 , 1574 
220 , 191 , 1578 
222 , 282 , 1579 
225 , 375 , 1580 
316 , 222 , 1585 
392 , 219 , 1581 
493 , 225 , 1586 


===============================================      Match : 1035 ================================== 
Equipe 1 
141 , 366 , 1546 
64 , 53 , 1547 
618 , 105 , 1548 
472 , 358 , 1549 
179 , 168 , 1550 
64 , 100 , 1551 
497 , 212 , 1552 
341 , 196 , 1553 
425 , 30 , 1554 
277 , 141 , 1555 
651 , 57 , 1556 
Equipe 2 
50 , 225 , 1790 
120 , 162 , 1793 
119 , 312 , 1794 
217 , 99 , 1795 
213 , 195 , 1796 
213 , 286 , 1800 
216 , 382 , 1801 
294 , 160 , 1802 
303 , 315 , 1807 
401 , 229 , 1803 
493 , 228 , 1808 


===============================================      Match : 1036 ================================== 
Equipe 1 
49 , 225 , 1767 
143 , 101 , 1770 
140 , 192 , 1771 
147 , 289 , 1772 
148 , 385 , 1773 
245 , 150 , 1777 
245 , 300 , 1778 
346 , 116 , 1779 
345 , 227 , 1784 
345 , 347 , 1780 
465 , 227 , 1785 
Equipe 2 
43 , 225 , 1523 
121 , 102 , 1526 
118 , 194 , 1527 
117 , 279 , 1528 
121 , 375 , 1529 
192 , 232 , 1533 
277 , 165 , 1534 
279 , 314 , 1535 
350 , 229 , 1540 
421 , 221 , 1536 
502 , 228 , 1541 


===============================================      Match : 1037 ================================== 
Equipe 1 
46 , 225 , 1502 
144 , 126 , 1505 
149 , 244 , 1506 
142 , 366 , 1507 
243 , 120 , 1508 
241 , 231 , 1512 
245 , 349 , 1513 
355 , 119 , 1514 
356 , 234 , 1519 
357 , 356 , 1515 
457 , 223 , 1520 
Equipe 2 
42 , 225 , 1746 
117 , 154 , 1749 
114 , 308 , 1750 
172 , 225 , 1751 
252 , 224 , 1752 
321 , 224 , 1756 
400 , 155 , 1757 
399 , 301 , 1758 
452 , 161 , 1763 
451 , 313 , 1759 
520 , 228 , 1764 


===============================================      Match : 1038 ================================== 
Equipe 1 
48 , 225 , 1724 
139 , 105 , 1727 
136 , 208 , 1728 
135 , 311 , 1729 
142 , 412 , 1730 
243 , 162 , 1734 
245 , 314 , 1735 
361 , 124 , 1736 
368 , 240 , 1741 
359 , 365 , 1737 
452 , 223 , 1742 
Equipe 2 
46 , 225 , 1480 
146 , 154 , 1483 
142 , 308 , 1484 
260 , 96 , 1485 
256 , 186 , 1486 
255 , 280 , 1490 
252 , 368 , 1491 
355 , 116 , 1492 
360 , 238 , 1497 
356 , 348 , 1493 
460 , 222 , 1498 


===============================================      Match : 1039 ================================== 
Equipe 1 
48 , 225 , 1636 
119 , 122 , 1639 
114 , 226 , 1640 
122 , 340 , 1641 
205 , 220 , 1642 
312 , 125 , 1646 
314 , 239 , 1647 
317 , 358 , 1648 
409 , 163 , 1653 
411 , 319 , 1649 
486 , 227 , 1654 
Equipe 2 
45 , 225 , 1702 
118 , 128 , 1705 
122 , 248 , 1706 
121 , 372 , 1707 
220 , 219 , 1708 
313 , 124 , 1712 
308 , 231 , 1713 
309 , 345 , 1714 
402 , 160 , 1719 
396 , 316 , 1715 
487 , 229 , 1720 


===============================================      Match : 1040 ================================== 
Equipe 1 
48 , 225 , 1677 
111 , 120 , 1680 
112 , 241 , 1681 
111 , 359 , 1682 
219 , 101 , 1683 
222 , 207 , 1687 
223 , 302 , 1688 
226 , 402 , 1689 
296 , 220 , 1694 
389 , 223 , 1690 
500 , 224 , 1695 
Equipe 2 
43 , 225 , 1658 
140 , 121 , 1661 
139 , 250 , 1662 
135 , 371 , 1663 
241 , 93 , 1664 
237 , 195 , 1668 
245 , 286 , 1669 
240 , 375 , 1670 
345 , 152 , 1675 
352 , 308 , 1671 
465 , 227 , 1676 


===============================================      Match : 1273 ================================== 
Equipe 1 
44 , 225 , 1946 
138 , 152 , 1949 
138 , 305 , 1950 
227 , 130 , 1951 
222 , 247 , 1952 
220 , 370 , 1956 
317 , 153 , 1957 
316 , 301 , 1958 
395 , 162 , 1963 
400 , 313 , 1959 
498 , 227 , 1964 
Equipe 2 
50 , 225 , 1813 
125 , 103 , 1816 
126 , 202 , 1817 
128 , 296 , 1818 
127 , 388 , 1819 
186 , 226 , 1823 
271 , 156 , 1824 
279 , 306 , 1825 
363 , 227 , 1830 
431 , 225 , 1826 
512 , 219 , 1831 


===============================================      Match : 1274 ================================== 
Equipe 1 
45 , 225 , 1967 
139 , 127 , 1970 
145 , 242 , 1971 
140 , 367 , 1972 
253 , 97 , 1973 
251 , 191 , 1977 
259 , 288 , 1978 
255 , 379 , 1979 
347 , 158 , 1984 
344 , 309 , 1980 
465 , 218 , 1985 
Equipe 2 
48 , 225 , 1922 
132 , 107 , 1925 
131 , 208 , 1926 
134 , 304 , 1927 
